Hasil Kasar,Tahun,Fertilizer_N,Fertilizer_P,Fertilizer_K,NDVI_BOHOR,TMIN_All,TMAX_All,TBase_All,TotalGDD,GDD_Cummulative,RAIN1,TotalSRAD,SRAD_Commulative,SOIL_pH,SOIL_CEC (meq/100),SOIL_OC,Predicted Hasil (experimental)
4.45126,2021,104.3,42,62,0.308567,0.284575,0.807805,0.249059,0.44475,0.331376,0.0613916,0.849491,0.485295,0.7503151,0.5,0,0.296652
5.91518,2021,104.3,42,62,0.350167,0.747698,0.496161,0.516887,0.729361,0.742455,0.848903,0.404731,0.509822,0.4826717,1,0,0.65497
4.60036,2021,104.3,42,62,0.669423,0.660263,0.544394,0.64215,0.703883,0.646455,0.504139,0.602458,0.626375,0.357908,0,0,0.591303
5.09039,2022,104.3,42,62,0.430389,0.485845,0.371512,0.682852,0.487408,0.4766,0.483988,0.722939,0.642748,0.3169502,0.75,0,0.479065
5.91918,2022,104.3,42,62,0.789158,0.216527,0.889348,0.162567,0.401538,0.250641,0.37311,0.619752,0.293557,0.8371141,0,0,0
5.03349,2022,104.3,42,62,0.0852444,0.724574,0.655977,0.693342,0.787748,0.771215,0.487821,0.782894,0.741765,0.3062382,0.75,0,0.731205
5.17247,2022,104.3,42,62,0.536626,0.383166,0.616703,0.351881,0.479784,0.396423,0.389387,0.836557,0.593295,0.647448,0.75,0,0.250376
5.46574,2022,104.3,42,62,0.396715,0.105897,0.670246,0.462789,0.232216,0.157673,0.283813,0.499969,0.248194,0.5370195,0.5,0,0.160649
5.19126,2022,104.3,42,62,0.66505,0.617807,0.876758,0.138429,0.775495,0.646541,0.340128,1,0.73875,0.8612161,0.25,0,0.392173
6.26021,2022,104.3,42,62,0.814397,0.392899,0.470161,0.359492,0.40447,0.390238,0.768694,0.25972,0.280489,0.6403592,0,0,0.324772
5.17282,2022,104.3,42,62,0.406635,0.405879,0.531825,0.5728,0.447274,0.417085,0.434035,0.631248,0.470336,0.4273787,0,0,0.440447
4.57323,2022,104.3,42,62,0.154105,0.45964,0.408255,0.525313,0.459763,0.468284,0.471397,0.507922,0.441431,0.4740076,0.75,0,0.598511
3.72719,2022,104.3,42,62,0.567913,0.884146,0.739068,0.322142,0.959806,0.890864,0.54228,0.772622,0.742677,0.6773787,0.5,0,0.685634
6.56491,2022,104.3,42,62,0.646641,0.404318,0.274742,0.275221,0.355681,0.374669,0.755342,0.281166,0.347805,0.7244802,0.5,0,0.449885
4.28392,2022,104.3,42,62,0.0955938,0.524417,0.722689,0.470017,0.631681,0.574552,0.314605,0.752278,0.581752,0.5296156,0.5,0,0.52587
5.27883,2022,104.3,42,62,0.401274,0.674182,0.571452,0.415779,0.714426,0.674779,0.608355,0.719716,0.649166,0.5838059,0.5,0,0.58146
4.56364,2022,104.3,42,62,0,0.831799,0.527906,0.256212,0.851812,0.828872,0.525658,0.874238,0.805739,0.7430687,0.75,0,0.819817
4.91533,2022,104.3,42,62,0.00916418,0.789048,0.437253,0.176132,0.772661,0.7928,0.586678,0.784313,0.773546,0.8234089,0.5,0,0.825379
5.08269,2022,104.3,42,62,0.347686,0.563123,0.29469,0.502335,0.510179,0.542484,0.621876,0.394324,0.481567,0.4974795,0.25,0,0.687591
6.14779,2022,104.3,42,62,0.912317,0.440624,0.487201,0.304443,0.456075,0.409868,0.672329,0.447784,0.3711,0.6953371,0,0,0.337995
5.43332,2022,104.3,42,62,0.664325,0.792665,0.455917,0.404823,0.769845,0.744991,0.750684,0.631181,0.629292,0.5951481,0.25,0,0.678164
5.62952,2022,104.3,42,62,0.445321,0.529064,0.32589,0.499017,0.486284,0.528653,0.74409,0.386494,0.472591,0.5004726,0.75,0,0.559207
4.99434,2022,104.3,42,62,0.689631,0.431268,0.700245,0.520237,0.542222,0.451745,0.468888,0.572696,0.4379,0.4796786,0.75,0,0.33319
6.07627,2022,104.3,42,62,0.586511,0.552978,0.401062,0,0.543287,0.500046,0.715322,0.504067,0.455583,1,0,0,0.472928
5.51454,2022,104.3,42,62,0.129761,0.277654,0.239495,0.363105,0.23812,0.265072,0.552205,0.448818,0.387431,0.6365784,0.25,0,0.395119
5.78474,2022,104.3,42,62,0.383901,0.504832,0.654721,0.340193,0.591072,0.525907,0.474698,0.771292,0.600051,0.6594203,0.25,0,0.442933
5.7723,2023,104.3,42,62,0.290029,0.553656,0.217148,0.375599,0.477545,0.524806,0.781419,0.305809,0.441681,0.6239761,0.25,0,0.630308
4.13629,2023,104.3,42,62,0.388858,0.394437,0.523193,0.706172,0.439225,0.420086,0.436264,0.549402,0.450173,0.2939509,0.5,0,0.437574
3.16314,2023,104.3,42,62,0.309357,0.635048,0.773454,0.361136,0.737125,0.694068,0.294618,0.623644,0.558303,0.6379962,1,0,0.704704
6.05164,2023,104.3,42,62,0.519329,0.594854,0.456073,0.640877,0.580452,0.561162,0.755659,0.382388,0.37224,0.3583806,1,0,0.584586
7.14868,2023,104.3,42,62,0.43992,0.618299,0.271431,0.735603,0.529587,0.574159,0.979373,0.197274,0.365539,0.2644928,0.25,0,0.619377
6.81259,2023,104.3,42,62,0.712146,0.362505,0.294901,0.864495,0.331326,0.32088,0.778251,0.303584,0.311527,0.1354757,0.5,0,0.349555
4.89452,2023,104.3,42,62,0.227333,0.875715,0.520958,0.362871,0.885591,0.878854,0.685968,0.787288,0.819788,0.6368935,0,0,0.799552
6.27772,2023,104.3,42,62,0.592439,0.674167,0.497636,0.19243,0.680063,0.651934,0.759647,0.560774,0.57431,0.8068683,0.25,0,0.537017
6.2645,2023,104.3,42,62,0.69076,0.625943,0.408981,0.157063,0.607484,0.592276,0.854245,0.375686,0.48027,0.8424701,0.25,0,0.477284
6.85033,2023,104.3,42,62,0.70876,0.56733,0.328053,0.516061,0.506483,0.511823,0.838637,0.413984,0.42603,0.4840895,0.5,0,0.542635
5.38208,2023,104.3,42,62,0.607961,0.876208,0.250322,0.444401,0.768575,0.812441,0.823449,0.529443,0.662906,0.5554505,0.5,0,0.922279
5.2681,2023,104.3,42,62,0.549445,0.652472,0.41232,0.482486,0.628214,0.623285,0.643436,0.551883,0.54885,0.5171708,0.75,0,0.651214
5.10489,2023,104.3,42,62,0.639683,0.516854,0.771382,0.50936,0.646277,0.557899,0.408183,0.624923,0.557082,0.4902331,0.75,0,0.410765
5.66406,2023,104.3,42,62,0.459636,0.554315,0.24501,0.535762,0.495125,0.5365,0.757893,0.523316,0.592694,0.4637681,0.5,0,0.545859
5.93539,2023,104.3,42,62,0.772174,0.417709,0.468692,0.626177,0.431722,0.397157,0.605855,0.469854,0.374418,0.373661,0.5,0,0.423973
3.88068,2023,104.3,42,62,0.514606,0.416919,0.904351,0.838186,0.619247,0.487542,0,0.948909,0.691354,0.1614682,0.75,0,0.439183
5.00186,2023,104.3,42,62,0.421172,0.457555,0.663953,0.113464,0.560011,0.486883,0.429267,0.624878,0.514539,0.8861059,0,0,0.394425
4.77618,2023,104.3,42,62,0.345118,0.418081,0.610581,0.423604,0.504018,0.427076,0.400909,0.593787,0.447039,0.576087,0.5,0,0.406128
6.83496,2024,104.3,42,62,0.993604,0.376412,0.408863,0.60458,0.363896,0.32453,0.803703,0.386016,0.272829,0.3950851,0.5,0,0.297251
6.2734,2024,104.3,42,62,0.693465,0.75817,0.172097,0.443952,0.622874,0.682208,0.972669,0.372773,0.517074,0.5560807,0.25,0,0.745286
5.11101,2024,104.3,42,62,0.526447,0.957092,0.275097,0.61092,0.844954,0.901253,0.914837,0.408646,0.629156,0.3890989,0.25,0,1
5.63366,2024,104.3,42,62,0.174624,0.314209,0.649289,0.513511,0.440463,0.351325,0.327509,0.838388,0.581503,0.4861374,0.5,0,0.197928
4.90367,2024,104.3,42,62,0.479966,0.734412,0.687399,0.306927,0.803307,0.759066,0.62519,0.599455,0.634191,0.6926591,0.5,0,0.5806
